model,validation_mae,validation_rmse,validation_r2
Random Forest,0.182012987012987,0.31096356787948737,0.8595739486593323
XGBoost,0.21690881794149225,0.3490794135654878,0.8230391733938869
Ridge Regression,0.29847681805063286,0.43193865339989146,0.7290602018776302
Multiple Linear Regression,0.29880405315754954,0.4330433366717942,0.7276725724369357
