model,validation_mae,validation_rmse,validation_r2,test_mae,test_rmse,test_r2
Random Forest,0.11142340387050098,0.22557595609284964,0.917135718551177,0.1464586724543317,0.25908187109123726,0.8731742317467381
XGBoost,0.11279041082782715,0.21739955043564815,0.9230339783606456,,,
Multiple Linear Regression,0.13094460727982687,0.2528012870967262,0.8959264624856004,,,
Ridge Regression,0.13095624936185934,0.2528013921603324,0.8959263759801592,,,
